ID,Title,Relevancy
39,Metformin use is associated with a lower risk of osteoporosis in adult women independent of type 2 diabetes mellitus and obesity. REDLINC IX study.,2
40,Design of a cluster-randomized trial of the effectiveness and cost-effectiveness of metformin on prevention of type 2 diabetes among prediabetic Mexican adults (the PRuDENTE initiative of Mexico City).,2
41,Metformin may adversely affect orthostatic blood pressure recovery in patients with type 2 diabetes: substudy from the placebo-controlled Copenhagen Insulin and Metformin Therapy (CIMT) trial.,2
42,Metformin as targeted treatment in fragile X syndrome.,2
43,"Efficacy and safety of ipragliflozin and metformin for visceral fat reduction in patients with type 2 diabetes receiving treatment with dipeptidyl peptidase-4 inhibitors in Japan: a study protocol for a prospective, multicentre, blinded-endpoint phase IV randomised controlled trial (PRIME-V study).",2
44,"Effects of ipragliflozin versus metformin in combination with sitagliptin on bone and muscle in Japanese patients with type 2 diabetes mellitus: Subanalysis of a prospective, randomized, controlled study (PRIME-V study).",2
45,Association Between the Use of Antihyperglycemic Drugs and Dementia Risk: A Case-Control Study.,2
46,"Oral semaglutide versus subcutaneous liraglutide and placebo in type 2 diabetes (PIONEER 4): a randomised, double-blind, phase 3a trial.",1
47,Ertugliflozin plus sitagliptin versus either individual agent over 52 weeks in patients with type 2 diabetes mellitus inadequately controlled with metformin: The VERTIS FACTORIAL randomized trial.,2
48,Mechanisms of action of metformin with special reference to cardiovascular protection.,2
49,The Role of Vildagliptin in Treating Hypertension Through Modulating Serum VEGF in Diabetic Hypertensive Patients.,2
50,Pioglitazone for prevention or delay of type 2 diabetes mellitus and its associated complications in people at risk for the development of type 2 diabetes mellitus.,2
51,"Managing pasireotide-associated hyperglycemia: a randomized, open-label, Phase IV study.",2
52,Oral semaglutide (Rybelsus) for type 2 diabetes.,2
53,Efficacy and Safety of IDegLira Versus Basal-Bolus Insulin Therapy in Patients With Type 2 Diabetes Uncontrolled on Metformin and Basal Insulin: The DUAL VII Randomized Clinical Trial.,2
54,Exploring the Possible Impact of Unbalanced Open-Label Drop-In of Glucose-Lowering Medications on EXSCEL Outcomes.,2
55,Network Meta-analysis of the Therapeutic Effects of Hypoglycemic Drugs and Intensive Lifestyle Modification on Impaired Glucose Tolerance.,2
56,"Efficacy and safety of once-weekly dulaglutide versus insulin glargine in mainly Asian patients with type 2 diabetes mellitus on metformin and/or a sulphonylurea: A 52-week open-label, randomized phase III trial.",1
57,The effect of empagliflozin on growth differentiation factor 15 in patients with heart failure: a randomized controlled trial (Empire HF Biomarker).,2
58,"Combination Therapy With Canagliflozin Plus Liraglutide Exerts Additive Effect on Weight Loss, but Not on HbA1c, in Patients With Type 2 Diabetes.",2
59,The Effect of Glycemic Control on Renal Triglyceride Content Assessed by Proton Spectroscopy in Patients With Type 2 Diabetes Mellitus: A Single-Center Parallel-Group Trial.,2
60,Advances in type 2 diabetes therapy: a focus on cardiovascular and renal outcomes.,2
61,Ertugliflozin: First Global Approval.,2
62,[Relative frequency of urinary tract infections in patients affected by diabetes mellitus type 2 treated with metformin and SGLT2 inhibitor. Network meta-analysis].,2
63,Glucose-lowering therapies in patients with type 2 diabetes and cardiovascular diseases.,2
64,Gestational weight gain in women with type 2 diabetes and perinatal outcomes: A secondary analysis of the metformin in women with type 2 diabetes in pregnancy (MiTy) trial.,2
65,Sodium-glucose cotransporter type 2 inhibitors for the treatment of type 2 diabetes mellitus.,0
66,Evaluation of the Short-Term Cost-Effectiveness of IDegLira Versus Basal Insulin and Basal-Bolus Therapy in Patients with Type 2 Diabetes Based on Attainment of Clinically Relevant Treatment Targets.,2
67,Comparing SGLT-2 inhibitors to DPP-4 inhibitors as an add-on therapy to metformin in patients with type 2 diabetes: A systematic review and meta-analysis.,2
68,"Assessment of the Drug Interaction Potential of Ertugliflozin With Sitagliptin, Metformin, Glimepiride, or Simvastatin in Healthy Subjects.",2
69,Switching to iGlarLixi Versus Continuing Daily or Weekly GLP-1 RA in Type 2 Diabetes Inadequately Controlled by GLP-1 RA and Oral Antihyperglycemic Therapy: The LixiLan-G Randomized Clinical Trial.,2
70,Comparison of antidiabetic drugs added to sulfonylurea monotherapy in patients with type 2 diabetes mellitus: A network meta-analysis.,2
71,Baseline Triglyceride Level Affected the Efficacy of Vildagliptin in Treating Type 2 Diabetes: A Post Hoc Analysis of the VISION Study.,2
72,Cost-effectiveness of once-weekly semaglutide versus dulaglutide and lixisenatide in patients with type 2 diabetes with inadequate glycemic control in Sweden.,3
73,Dipeptidyl Peptidase-4 Inhibitors and Heart Failure Exacerbation in the Veteran Population: An Observational Study.,2
74,Baseline Characteristics of Randomized Participants in the Glycemia Reduction Approaches in Diabetes: A Comparative Effectiveness Study (GRADE).,1
75,"Vitamin B12 Supplementation in Diabetic Neuropathy: A 1-Year, Randomized, Double-Blind, Placebo-Controlled Trial.",2
76,"Triple fixed-dose combination empagliflozin, linagliptin, and metformin for patients with type 2 diabetes.",2
77,Analysis of Fractures in Patients With Type 2 Diabetes Treated With Empagliflozin in Pooled Data From Placebo-Controlled Trials and a Head-to-Head Study Versus Glimepiride.,2
78,Development and Qualification of a Drug-Disease Modeling Platform to Characterize Clinically Relevant Endpoints in Type 2 Diabetes Trials.,2
79,"Real-world Evaluation of glycemic control and hypoglycemic Events among type 2 Diabetes mellitus study (REEDS): a multicentre, cross-sectional study in Thailand.",2
80,SGLT2i and postglomerular vasodilation.,2
81,"Effects of 6-month treatment with the glucagon like peptide-1 analogue liraglutide on arterial stiffness, left ventricular myocardial deformation and oxidative stress in subjects with newly diagnosed type 2 diabetes.",2
82,Novel glucose lowering agents are associated with a lower risk of cardiovascular and adverse events in type 2 diabetes: A population based analysis.,2
83,Long-Term Efficacy and Safety of Linagliptin in a Japanese Population with Type 2 Diabetes Aged >= 60 Years Treated with Basal Insulin: A Randomised Trial.,2
84,Effect of short-term prednisone on beta-cell function in subjects with type 2 diabetes mellitus and healthy subjects.,2
85,Cost-effectiveness of diabetes treatment sequences to inform step therapy policies.,2
86,Effect of Metformin on Testosterone Levels in Male Patients With Type 2 Diabetes Mellitus Treated With Insulin.,2
87,Effectiveness and safety of basal insulin therapy in type 2 diabetes mellitus patients with or without metformin observed in a national cohort in China.,2
88,Efficacy and safety of sodium-glucose cotransporter-2 inhibitors in type 2 diabetes mellitus with inadequate glycemic control on metformin: a meta-analysis.,2
89,Impact of antidiabetic agents on dementia risk: A Bayesian network meta-analysis.,2
90,"Metformin and Cancer Hallmarks: Molecular Mechanisms in Thyroid, Prostate and Head and Neck Cancer Models.",2
91,Effect of metformin combined with lifestyle modification versus lifestyle modification alone on proinflammatory-oxidative status in drug-naive pre-diabetic and diabetic patients: A randomized controlled study.,2
92,Long-term treatment with metformin in type 2 diabetes and vitamin D levels: A post-hoc analysis of a randomized placebo-controlled trial.,2
93,Efficacy of the treatment with dapagliflozin and metformin compared to metformin monotherapy for weight loss in patients with class III obesity: a randomized controlled trial.,2
94,Healthcare and associated costs related to type 2 diabetes in youth and adolescence: the TODAY clinical trial experience.,2
95,Prediction of carotid intima-media thickness and its relation to cardiovascular events in persons with type 2 diabetes.,2
96,Repurposed Drugs Trials for Ovarian Cancer.,2
97,"Green tea extract outperforms metformin in lipid profile and glycaemic control in overweight women: A double-blind, placebo-controlled, randomized trial.",2
98,Efficacy of Once-Weekly Semaglutide vs Empagliflozin Added to Metformin in Type 2 Diabetes: Patient-Level Meta-analysis.,2
99,Dapagliflozin increases retinal thickness in type 2 diabetic patients as compared with glibenclamide: A randomized controlled trial.,2
100,Impact of disease duration and beta-cell reserve on the efficacy of switching to iGlarLixi in adults with type 2 diabetes on glucagon-like peptide-1 receptor agonist therapy: Exploratory analyses from the LixiLan-G trial.,2
101,"Dulaglutide as add-on therapy to SGLT2 inhibitors in patients with inadequately controlled type 2 diabetes (AWARD-10): a 24-week, randomised, double-blind, placebo-controlled trial.",2
102,Effect of liraglutide on estimates of lipolysis and lipid oxidation in obese patients with stable coronary artery disease and newly diagnosed type 2 diabetes: A randomized trial.,2
103,Racial/ethnic differences in circulating natriuretic peptide levels: The Diabetes Prevention Program.,2
104,"Efficacy and safety of 28-day treatment with oral insulin (ORMD-0801) in patients with type 2 diabetes: A randomized, placebo-controlled trial.",2
105,Changes in markers of hepatic steatosis and fibrosis in patients with type 2 diabetes during treatment with glucagon-like peptide-1 receptor agonists. A multicenter retrospective longitudinal study.,2
106,[Process to insulin for type 2 diabetes mellitus therapy].,1
107,Are the cardiovascular and kidney benefits of empagliflozin influenced by baseline glucose-lowering therapy?.,2
108,Type 2 Diabetes Prevention Focused on Normalization of Glycemia: A Two-Year Pilot Study.,2
109,Cost-Utility Analysis of Dapagliflozin Versus Saxagliptin Treatment as Monotherapy or Combination Therapy as Add-on to Metformin for Treating Type 2 Diabetes Mellitus.,2
110,Effects of Sitagliptin as Monotherapy and Add-On to Metformin on Weight Loss among Overweight and Obese Patients with Type 2 Diabetes: A Systematic Review and Meta-Analysis.,1
111,Clinical pharmacology of imeglimin for the treatment of type 2 diabetes.,2
112,Comparative clinical study evaluating the effect of adding Vildagliptin versus Glimepiride to ongoing Metformin therapy on diabetic patients with symptomatic coronary artery disease.,2
113,Insulin secretion is a strong predictor for need of insulin therapy in patients with new-onset diabetes and HbA1c of more than 10%: A post hoc analysis of the EDICT study.,2
114,A carbohydrate-reduced high-protein diet acutely decreases postprandial and diurnal glucose excursions in type 2 diabetes patients.,2
115,"Efficacy and Safety of Pioglitazone versus Glimepiride after Metformin and Alogliptin Combination Therapy: A Randomized, Open-Label, Multicenter, Parallel-Controlled Study.",2
116,A randomized controlled trial to compare the effects of sulphonylurea gliclazide MR (modified release) and the DPP-4 inhibitor vildagliptin on glycemic variability and control measured by continuous glucose monitoring (CGM) in Brazilian women with type 2 diabetes.,2
117,"Which is better, high-dose metformin monotherapy or low-dose metformin/linagliptin combination therapy, in improving glycemic variability in type 2 diabetes patients with insufficient glycemic control despite low-dose metformin monotherapy? A randomized, cross-over, continuous glucose monitoring-based pilot study.",2
118,"Efficacy and safety of the glucagon receptor antagonist PF-06291874: A 12-week, randomized, dose-response study in patients with type 2 diabetes mellitus on background metformin therapy.",0
119,Effect of a New Formulation of Nutraceuticals as an Add-On to Metformin Monotherapy for Patients with Type 2 Diabetes and Suboptimal Glycemic Control: A Randomized Controlled Trial.,2
120,Glycemic control of type 2 diabetes mellitus across stages of renal impairment: information for primary care providers.,2
121,Effect of Metformin and Lifestyle Interventions on Mortality in the Diabetes Prevention Program and Diabetes Prevention Program Outcomes Study.,2
122,Patterns of glucose-lowering medication use in patients with type 2 diabetes and heart failure. Insights from the Diabetes Collaborative Registry (DCR).,2
123,Efficacy and safety of dapagliflozin or dapagliflozin plus saxagliptin versus glimepiride as add-on to metformin in patients with type 2 diabetes.,2
124,"Protective effects of metformin, statins and anti-inflammatory drugs on head and neck cancer: A systematic review.",2
125,Sex-Dependent Effect of Metformin on Serum Prolactin Levels In Hyperprolactinemic Patients With Type 2 Diabetes: A Pilot Study.,2
126,Vitamin D3 supplementation improves glycemic control in type 2 diabetic patients: Results from an Italian clinical trial.,2
127,A Model-Based Meta-Analysis of 24 Antihyperglycemic Drugs for Type 2 Diabetes: Comparison of Treatment Effects at Therapeutic Doses.,2
128,Non-insulin anti-diabetic agents in patients with type 2 diabetes and COVID-19: A Critical Appraisal of Literature.,2
129,"Effects of Glucagon-Like Peptide-1 Receptor Agonists, Sodium-Glucose Cotransporter-2 Inhibitors, and Their Combination on Endothelial Glycocalyx, Arterial Function, and Myocardial Work Index in Patients With Type 2 Diabetes Mellitus After 12-Month Treatment.",2
130,Metformin use and cardiovascular outcomes after acute myocardial infarction in patients with type 2 diabetes: a cohort study.,2
131,Chronic systemic inflammation in the pathogenesis of comorbid pathology and it's correction.,2
132,"Dipeptidyl peptidase-4 inhibitors and cardiovascular events in patients with type 2 diabetes, without cardiovascular or renal disease.",2
133,A time to revisit the two oldest prandial anti-diabetes agents: acarbose and repaglinide.,2
134,Effect of Additional Oral Semaglutide vs Sitagliptin on Glycated Hemoglobin in Adults With Type 2 Diabetes Uncontrolled With Metformin Alone or With Sulfonylurea: The PIONEER 3 Randomized Clinical Trial.,2
135,Lactic acidosis associated with metformin in patients with moderate to severe chronic kidney disease: study protocol for a multicenter population-based case-control study using health databases.,2
136,Comparative Effectiveness of Glucose-Lowering Drugs for Type 2 Diabetes: A Systematic Review and Network Meta-analysis.,2
137,"Efficacy, Safety, and Tolerability of Oral Semaglutide Versus Placebo Added to Insulin With or Without Metformin in Patients With Type 2 Diabetes: The PIONEER 8 Trial.",2
138,Efficacy and safety of sodium-glucose cotransporter-2 inhibitors versus dipeptidyl peptidase-4 inhibitors as monotherapy or add-on to metformin in patients with type 2 diabetes mellitus: A systematic review and meta-analysis.,2
139,Effect of race on the glycaemic response to sitagliptin: Insights from the Trial Evaluating Cardiovascular Outcomes with Sitagliptin (TECOS).,2
140,Association of glycemia with insulin sensitivity and beta-cell function in adults with early type 2 diabetes on metformin alone.,2
141,Effects of Liraglutide on Cardiovascular Outcomes in Type 2 Diabetes Patients With and Without Baseline Metformin Use: Post Hoc Analyses of the LEADER Trial.,2
142,"Worsening Heart Failure During the Use of DPP-4 Inhibitors: Pathophysiological Mechanisms, Clinical Risks, and Potential Influence of Concomitant Antidiabetic Medications.",2
143,Population diversity of cardiovascular outcome trials and real-world patients with diabetes in a Chinese tertiary hospital.,2
144,Intermittent fasting in Type 2 diabetes mellitus and the risk of hypoglycaemia: a randomized controlled trial.,2
145,"Liraglutide, Sitagliptin, and Insulin Glargine Added to Metformin: The Effect on Body Weight and Intrahepatic Lipid in Patients With Type 2 Diabetes Mellitus and Nonalcoholic Fatty Liver Disease.",0
146,"Semaglutide once weekly as add-on to SGLT-2 inhibitor therapy in type 2 diabetes (SUSTAIN 9): a randomised, placebo-controlled trial.",2
147,"Efficacy and safety of saxagliptin in combination with metformin as initial therapy in Chinese patients with type 2 diabetes: Results from the START study, a multicentre, randomized, double-blind, active-controlled, phase 3 trial.",2
148,Glucagon-Like Peptide 1 Receptor Agonists and Heart Failure: The Need for Further Evidence Generation and Practice Guidelines Optimization.,2
149,Glycaemic efficacy of an expanded dose range of dulaglutide according to baseline glycated haemoglobin (HbA1c) subgroup: Post hoc analysis of AWARD-11.,2
150,The place of DPP-4 inhibitors in the treatment algorithm of diabetes type 2: a systematic review of cost-effectiveness studies.,2
151,Insulin degludec/liraglutide (IDegLira) was effective across a range of dysglycaemia and body mass index categories in the DUAL V randomized trial.,2
152,"Durability of glycaemic control with dapagliflozin, an SGLT2 inhibitor, compared with saxagliptin, a DPP4 inhibitor, in patients with inadequately controlled type 2 diabetes.",2
153,"Fasting in diabetes treatment (FIT) trial: study protocol for a randomised, controlled, assessor-blinded intervention trial on the effects of intermittent use of a fasting-mimicking diet in patients with type 2 diabetes.",2
154,Cost-effectiveness analysis of metformin+dipeptidyl peptidase-4 inhibitors compared to metformin+sulfonylureas for treatment of type 2 diabetes.,2
155,Relationship between type 2 diabetes mellitus and markers of cutaneous melanoma aggressiveness: an observational multicentric study in 443 patients with melanoma.,2
156,"Circulating sex hormone binding globulin levels are modified with intensive lifestyle intervention, but their changes did not independently predict diabetes risk in the Diabetes Prevention Program.",2
157,Metformin and Gastrointestinal Cancer Development in Newly Diagnosed Type 2 Diabetes: A Population-Based Study in Korea.,2
158,"Dipeptidyl peptidase IV inhibitors, a risk factor for bullous pemphigoid: Retrospective multicenter case-control study from France and Switzerland.",2
159,"Combining the G-protein-coupled receptor 40 agonist fasiglifam with sitagliptin improves glycaemic control in patients with type 2 diabetes with or without metformin: A randomized, 12-week trial.",2
160,Efficacy and safety of dulaglutide 3.0 and 4.5 mg in patients aged younger than 65 and 65 years or older: Post hoc analysis of the AWARD-11 trial.,2
161,Comparison of the Effects of Various Antidiabetic Medication on Bone Mineral Density in Patients with Type 2 Diabetes Mellitus.,2
162,Rationale and design of a randomised controlled trial testing the effect of personalised diet in individuals with pre-diabetes or type 2 diabetes mellitus treated with metformin.,2
163,Insulin Glargine/Lixisenatide: A Review in Type 2 Diabetes.,2
164,"Effects of Teneligliptin on HbA1c levels, Continuous Glucose Monitoring-Derived Time in Range and Glycemic Variability in Elderly Patients with T2DM (TEDDY Study).",2
165,Comparative effectiveness of sitagliptin vs sulphonylureas in older people.,2
166,"Circulating adhesion molecules and associations with HbA1c, hypertension, nephropathy, and retinopathy in the Treatment Options for type 2 Diabetes in Adolescent and Youth study.",2
167,Does diabetes prevention translate into reduced long-term vascular complications of diabetes?.,2
168,,2
169,"Efficacy and safety of oral basal insulin versus subcutaneous insulin glargine in type 2 diabetes: a randomised, double-blind, phase 2 trial.",2
170,Glycaemic and non-glycaemic efficacy of once-weekly GLP-1 receptor agonists in people with type 2 diabetes.,2
171,The efficacy and safety of liraglutide added to metformin in patients with diabetes: a meta-analysis of randomized controlled trials.,2
172,Antidiabetic therapies and Alzheimer disease.,2
173,Regression to Normal Glucose Regulation in American Indians and Alaska Natives of a Diabetes Prevention Program.,2
174,Oral Glucose-lowering Drugs and Cardiovascular Outcomes: From the Negative RECORD and ACCORD to Neutral TECOS and Promising EMPA-REG.,2
175,"Efficacy and safety of insulin degludec/insulin aspart versus biphasic insulin aspart 30 in Chinese adults with type 2 diabetes: A phase III, open-label, 2:1 randomized, treat-to-target trial.",2
176,Effect of Metformin on Circulating Levels of Inflammatory Markers in Patients With Type 2 Diabetes: A Systematic Review and Meta-analysis of Randomized Controlled Trials.,2
177,Effects of Anti-Diabetic Drugs on Fracture Risk: A Systematic Review and Network Meta-Analysis.,2
178,"A ProspectIve, OpeN-Label, Randomized Study Comparing EffIcacy and Safety of Teneligliptin VErsus Sitagliptin in Indian Patients with Inadequately Controlled Type 2 Diabetes Mellitus: INSITES Study.",2
179,"The Effect of Metformin on Self-Selected Exercise Intensity in Healthy, Lean Males: A Randomized, Crossover, Counterbalanced Trial.",2
180,Effects of continuous use of metformin on cardiovascular outcomes in patients with type 2 diabetes after acute myocardial infarction: A protocol for systematic review and meta-analysis.,2
181,Association of Metformin with the Mortality and Incidence of Cardiovascular Events in Patients with Pre-existing Cardiovascular Diseases.,2
182,"The SGLT2 Inhibitor Dapagliflozin Reduces Liver Fat but Does Not Affect Tissue Insulin Sensitivity: A Randomized, Double-Blind, Placebo-Controlled Study With 8-Week Treatment in Type 2 Diabetes Patients.",2
183,A gene variant near ATM affects the response to metformin and metformin plasma levels: a post hoc analysis of an RCT.,2
184,"Effect of ertugliflozin on glucose control, body weight, blood pressure and bone density in type 2 diabetes mellitus inadequately controlled on metformin monotherapy (VERTIS MET).",2
185,"Dipeptidyl peptidase-4 inhibitor cardiovascular safety in patients with type 2 diabetes, with cardiovascular and renal disease: a retrospective cohort study.",2
186,"Effect of liraglutide on ambulatory blood pressure in patients with hypertension and type 2 diabetes: A randomized, double-blind, placebo-controlled trial.",2
187,Resistance Exercise Versus Aerobic Exercise Combined with Metformin Therapy in the Treatment of type 2 Diabetes: A 12-Week Comparative Clinical Study.,2
188,"Dorzagliatin add-on therapy to metformin in patients with type 2 diabetes: a randomized, double-blind, placebo-controlled phase 3 trial.",2
189,Cardiovascular safety and efficacy of metformin-SGLT2i versus metformin-sulfonylureas in type 2 diabetes: systematic review and meta-analysis of randomized controlled trials.,2
190,Fracture risk associated with common medications used in treating type 2 diabetes mellitus.,2
191,CoMET: a protocol for a randomised controlled trial of co-commencement of METformin as an adjunctive treatment to attenuate weight gain and metabolic syndrome in patients with schizophrenia newly commenced on clozapine.,2
192,Effects of Dapagliflozin on 24-Hour Glycemic Control in Patients with Type 2 Diabetes: A Randomized Controlled Trial.,2
193,Metformin and the risk of neurodegenerative diseases in patients with diabetes: A meta-analysis of population-based cohort studies.,2
194,Does metformin therapy influence the effects of intensive lifestyle intervention? Exploring the interaction between first line therapies in the Look AHEAD trial.,2
195,Efficacy and Safety of Voglibose Plus Metformin in Patients with Type 2 Diabetes Mellitus: A Randomized Controlled Trial.,2
196,"Comparative effects of proximal and distal small intestinal administration of metformin on plasma glucose and glucagon-like peptide-1, and gastric emptying after oral glucose, in type 2 diabetes.",2
197,Phase III Study on Efficacy and Safety of Triple Combination (Exenatide/Metformin/Biphasic Insulin Aspart) Therapy for Type 2 Diabetes Mellitus.,2
198,"TriMaster: randomised double-blind crossover study of a DPP4 inhibitor, SGLT2 inhibitor and thiazolidinedione as second-line or third-line therapy in patients with type 2 diabetes who have suboptimal glycaemic control on metformin treatment with or without a sulfonylurea-a MASTERMIND study protocol.",2
199,Comparison of Placebo Effect between Asian and Caucasian Type 2 Diabetic Patients: A Meta-Analysis.,2
200,Efficacy and safety of insulin glargine/lixisenatide fixed-ratio combination (iGlarLixi) in Japanese patients with type 2 diabetes mellitus inadequately controlled on basal insulin and oral antidiabetic drugs: The LixiLan JP-L randomized clinical trial.,2
201,"A comparison study on efficacy, insulin sensitivity and safety of Glimepiride/Metformin fixed dose combination versus glimepiride single therapy on type 2 diabetes mellitus patients with basal insulin therapy.",2
202,"Efficacy and Safety of Remogliflozin Etabonate, a New Sodium Glucose Co-Transporter-2 Inhibitor, in Patients with Type 2 Diabetes Mellitus: A 24-Week, Randomized, Double-Blind, Active-Controlled Trial.",2
203,Impact of Metformin Use and Diabetic Status During Adjuvant Fluoropyrimidine-Oxaliplatin Chemotherapy on the Outcome of Patients with Resected Colon Cancer: A TOSCA Study Subanalysis.,2
204,Effect of clomiphene citrate treatment on the Sertoli cells of dysmetabolic obese men with low testosterone levels.,2
205,"Action of metformin therapy against advanced glycation, oxidative stress and inflammation in type 2 diabetes patients: 3 months follow-up study.",2
206,Cognitive impairment by non-insulin-dependent diabetes mellitus was attenuated by dietary supplements of marble vine (Dioclea reflexa) and plantain (Musa paradisiaca) dough meals in albino rats.,2
207,The Pre-Diabetes Interventions and Continued Tracking to Ease-out Diabetes (Pre-DICTED) program: study protocol for a randomized controlled trial.,2
208,"INTERMITTENT INTENSIVE INSULIN THERAPY FOR TYPE 2 DIABETES: EFFECTS ON HYPOGLYCEMIA, WEIGHT GAIN, AND QUALITY OF LIFE OVER 2 YEARS.",2
209,Durability of Triple Combination Therapy Versus Stepwise Addition Therapy in Patients With New-Onset T2DM: 3-Year Follow-up of EDICT.,2
210,Efficacy and Safety of Metformin Versus the Other Oral Antidiabetic Drugs in Japanese Type 2 Diabetes Patients: A Network Meta-analysis.,1
211,"Rationality, Efficacy, Tolerability of Empagliflozin Plus Linagliptin Combination for the Management of Type 2 Diabetes Mellitus: A Systematic Review of Randomized Controlled Trials and Observational Studies.",2
212,"Efficacy and safety of once-monthly efpeglenatide in patients with type 2 diabetes: Results of a phase 2 placebo-controlled, 16-week randomized dose-finding study.",2
213,Metformin and blood cancers.,2
214,Comparison of exenatide and acarbose on intra-abdominal fat content in patients with obesity and type-2 diabetes: A randomized controlled trial.,2
215,PAN-AMPK activator O304 improves glucose homeostasis and microvascular perfusion in mice and type 2 diabetes patients.,2
216,Exendin-4 from Heloderma suspectum venom: From discovery to its latest application as type II diabetes combatant.,2
